,artikelnr:,text:,jci1.0:,jci1.3:,versie:
34,/Hoofdstuk2/Paragraaf1/Artikel35," $ Lid1 :  $  Wanneer de ministerraad van oordeel is dat de Koning buiten staat is het koninklijk gezag uit te oefenen, bericht hij dit onder overlegging van het daartoe gevraagde advies van de Raad van State aan de Staten-Generaal, die daarop in verenigde vergadering bijeenkomen.  $ Lid2 :  $  Delen de Staten-Generaal dit oordeel, dan verklaren zij dat de Koning buiten staat is het koninklijk gezag uit te oefenen. Deze verklaring wordt bekend gemaakt op last van de voorzitter der vergadering en treedt terstond in werking.  $ Lid3 :  $  Zodra de Koning weer in staat is het koninklijk gezag uit te oefenen, wordt dit bij de wet verklaard. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering. Terstond na de bekendmaking van deze wet hervat de Koning de uitoefening van het koninklijk gezag.  $ Lid4 :  $  De wet regelt zo nodig het toezicht over de persoon van de Koning indien hij buiten staat is verklaard het koninklijk gezag uit te oefenen. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering.",1.0:c:BWBR0001840&artikel=35&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=35&z=2018-12-21&g=2018-12-21,21-12-2018
35,/Hoofdstuk2/Paragraaf1/Artikel36,"De Koning kan de uitoefening van het koninklijk gezag tijdelijk neerleggen en die uitoefening hervatten krachtens een wet, waarvan het voorstel door of vanwege hem wordt ingediend. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering.",1.0:c:BWBR0001840&artikel=36&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=36&z=2018-12-21&g=2018-12-21,21-12-2018
36,/Hoofdstuk2/Paragraaf1/Artikel37," $ Lid1 :  $   $ Onderdeela :  $  zolang de Koning de leeftijd van achttien jaar niet heeft bereikt;  $ Onderdeelb :  $  indien een nog niet geboren kind tot het koningschap geroepen kan zijn;  $ Onderdeelc :  $  indien de Koning buiten staat is verklaard het koninklijk gezag uit te oefenen;  $ Onderdeeld :  $  indien de Koning de uitoefening van het koninklijk gezag tijdelijk heeft neergelegd;  $ Onderdeele :  $  zolang na het overlijden van de Koning of na diens afstand van het koningschap een opvolger ontbreekt.  $ Lid2 :  $  De regent wordt benoemd bij de wet. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering.  $ Lid3 :  $  In de gevallen, genoemd in het eerste lid onder c en d, is de nakomeling van de Koning die zijn vermoedelijke opvolger is, van rechtswege regent indien hij de leeftijd van achttien jaar heeft bereikt.  $ Lid4 :  $  De regent zweert of belooft trouw aan de Grondwet en een getrouwe vervulling van zijn ambt, in een verenigde vergadering van de Staten-Generaal. De wet geeft nadere regels omtrent het regentschap en kan voorzien in de opvolging en de vervanging daarin. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering.  $ Lid5 :  $  Op de regent zijn de  en  van overeenkomstige toepassing.artikelen 35 Op de regent zijn de  en  van overeenkomstige toepassing.",1.0:c:BWBR0001840&artikel=37&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=37&z=2018-12-21&g=2018-12-21,21-12-2018
37,/Hoofdstuk2/Paragraaf1/Artikel38,"Zolang niet in de uitoefening van het koninklijk gezag is voorzien, wordt dit uitgeoefend door de Raad van State.",1.0:c:BWBR0001840&artikel=38&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=38&z=2018-12-21&g=2018-12-21,21-12-2018
38,/Hoofdstuk2/Paragraaf1/Artikel39,"De wet regelt, wie lid is van het koninklijk huis.",1.0:c:BWBR0001840&artikel=39&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=39&z=2018-12-21&g=2018-12-21,21-12-2018
39,/Hoofdstuk2/Paragraaf1/Artikel40," $ Lid1 :  $  De Koning ontvangt jaarlijks ten laste van het Rijk uitkeringen naar regels bij de wet te stellen. Deze wet bepaalt aan welke andere leden van het koninklijk huis uitkeringen ten laste van het Rijk worden toegekend en regelt deze uitkeringen.  $ Lid2 :  $  De door hen ontvangen uitkeringen ten laste van het Rijk, alsmede de vermogensbestanddelen welke dienstbaar zijn aan de uitoefening van hun functie, zijn vrij van persoonlijke belastingen. Voorts is hetgeen de Koning of zijn vermoedelijke opvolger krachtens erfrecht of door schenking verkrijgt van een lid van het koninklijk huis vrij van de rechten van successie, overgang en schenking. Verdere vrijdom van belasting kan bij de wet worden verleend.  $ Lid3 :  $  De kamers der Staten-Generaal kunnen voorstellen van in de vorige leden bedoelde wetten alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen.",1.0:c:BWBR0001840&artikel=40&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=40&z=2018-12-21&g=2018-12-21,21-12-2018
40,/Hoofdstuk2/Paragraaf1/Artikel41,"De Koning richt, met inachtneming van het openbaar belang, zijn Huis in.",1.0:c:BWBR0001840&artikel=41&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=41&z=2018-12-21&g=2018-12-21,21-12-2018
41,/Hoofdstuk2/Paragraaf2/Artikel42, $ Lid1 :  $  De regering wordt gevormd door de Koning en de ministers.  $ Lid2 :  $  De Koning is onschendbaar; de ministers zijn verantwoordelijk.,1.0:c:BWBR0001840&artikel=42&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=2&artikel=42&z=2018-12-21&g=2018-12-21,21-12-2018
42,/Hoofdstuk2/Paragraaf2/Artikel43,De minister-president en de overige ministers worden bij koninklijk besluit benoemd en ontslagen.,1.0:c:BWBR0001840&artikel=43&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=2&artikel=43&z=2018-12-21&g=2018-12-21,21-12-2018
43,/Hoofdstuk2/Paragraaf2/Artikel44, $ Lid1 :  $  Bij koninklijk besluit worden ministeries ingesteld. Zij staan onder leiding van een minister.  $ Lid2 :  $  Ook kunnen ministers worden benoemd die niet belast zijn met de leiding van een ministerie.,1.0:c:BWBR0001840&artikel=44&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=2&artikel=44&z=2018-12-21&g=2018-12-21,21-12-2018
